account_num,account_name,balance,branch_id,type,customer_id
730218844,nhillinmt,-19745.7,903,checking,144297275
681931213,gdoidge75,-18841.88,827,checking,401801886
579237056,tpinhornin,-18533.2,500,checking,126476606
414029204,dpetytqr,-17149.67,849,checking,86064344
571741954,akeddya,-17040.48,291,checking,266869825
876124486,joxtobykr,-15956.71,291,checking,81579453
119379373,nlightningdf,-14959.3,815,checking,167391478
289348066,pwitherpb,-14826.55,272,checking,260420464
141019198,emyriejq,-13979.95,975,checking,15740331
768618986,hmebiusr8,-13890.01,827,checking,181974443
266922464,datlayh4,-13851.96,429,checking,345741006
174148475,mduchatel86,-13812.55,903,checking,64891915
845652302,dvallera5,-13144.93,500,checking,194861618
260473593,sthebe7t,-12847.57,815,checking,78072255
299861912,celmescv,-12797.16,778,checking,332216762
211232311,msimmings2c,-12771.91,949,checking,230129042
186231915,jharlyj7,-12263.57,844,checking,124200601
736691971,klambotgs,-12043.25,330,checking,267600887
927506759,lloanre,-11927.3,272,checking,174571504
411615872,lparkinson56,-11283.04,827,checking,202705454
839955302,dgleavemj,-10805.31,530,checking,423202941
359271065,tnorthill51,-10135.62,815,checking,170216381
366952879,tblaxelandlo,-9327.53,849,checking,161190597
816676766,tmckinnah5,-8937.61,799,checking,243665275
315049822,gmbarron8q,-7690.71,239,savings,189208045
551900340,tcossans8b,-7460.79,849,checking,188447028
149850220,anadin1j,-7112.06,429,checking,352297269
542903563,bmerner35,-5601.41,949,checking,89480461
741247383,mjacmard3b,-5398.61,827,checking,138219290
235658667,nkeydenbd,-5366.65,214,checking,142843415
509364123,mfardello,-5290.04,778,checking,186985401
825972566,fbaughamp6,-4452.64,902,checking,299457713
202943761,sbignallpt,-4437.62,902,checking,277376179
229330274,tdiver2z,-4216.43,406,checking,273909692
997662573,rdavidouir,-4206.31,815,checking,238927174
568482630,dmanntschkekx,-3706.41,608,savings,16392986
447226625,jblakesleedx,-3478.11,272,checking,161479435
200324321,ebyrkmyrh9,-3444.72,902,checking,136172648
426833350,cchaundy33,-3261.8,429,checking,87780097
927047066,aspeekspa,-3010.53,975,checking,228947654
886740407,jvaneziseu,-2414.6,151,savings,198746613
695570095,lhaxello3,-2296.48,799,checking,234728198
243521554,awhiskerod,-1683.35,104,checking,118283262
817310742,mtrudereg,-1379.99,827,checking,353978333
521245983,jstaddomlq,-724.88,949,savings,186486735
542980108,dwimlettkq,-32.85,903,checking,132322591
410927987,apitherickh1,253.55,778,checking,124620391
718397918,grochem2,327.4,272,checking,230980305
540214045,phaskewbz,1656.69,330,checking,309341882
821936441,jyuor,2057.85,429,checking,199067779
440137948,kcoil26,2605.97,692,checking,234728198
390387373,mduddellgs,2641.01,291,checking,312345089
144570782,aeaglennj,3191.51,849,savings,186985401
708157798,jkloisnerkd,3572.19,692,checking,129436103
710702068,gglasard8z,4167.01,500,checking,103543130
781279655,hgniewosz8t,4884.43,214,checking,130253321
643050447,eknowlesgx,5493.41,560,checking,45794965
531118733,lseadon9s,5864.65,815,checking,256952050
921115928,ecampanahe,6662.81,844,checking,193532657
838083416,agiacomelli2e,7537.7,827,checking,250540516
804679608,bkochelez,7559.72,902,checking,94752623
