employee_id,fname,sname,salary,position,ssn,address_id,branch_id
185505383,Ava,White,$75k,Bank Teller,549728806,813917053,608
162371172,Erin,Long,$245k,Banker,955394984,925891398,608
105078838,Kevin,Ramirez,$285k,Processor,432366182,769546870,608
33554342,Olivia,Alexander,$105k,Analyst,970431103,918763597,608
47059435,Patrick,Richardson,$55k,Investor,445057274,621264954,608
385671291,Daniel,Alexander,$35k,Advisor,899926495,793287203,608
53288385,Charlotte,Cooper,$165k,Asset Manager,615248624,498590820,608
268234155,Brittany,Thomas,$185k,Branch Manager,465141461,916993800,608
283209098,Evelyn,Harris,$55k,Investment Representative,390973389,741508358,608
266869825,Aiden,King,$85k,Security,84493174,646026625,608
191779985,Theodore,Lee,$75k,Bank Teller,875932621,278796883,500
188762853,Sara,Rivera,$75k,Banker,920049000,347008447,500
61399084,Mateo,Hughes,$55k,Processor,214909780,663128867,500
82516191,Alexandra,Murphy,$185k,Analyst,936067054,868248555,500
89344206,Anna,Butler,$105k,Investor,570522190,985136981,500
381516159,Timothy,Gray,$125k,Advisor,249289524,125863569,500
201999407,Jasmine,Russell,$125k,Asset Manager,421630129,523719016,500
253220837,Victoria,Price,$145k,Branch Manager,902534351,846221480,500
201036464,Olivia,Henderson,$245k,Investment Representative,147879700,644893209,500
364844006,Austin,Sanders,$65k,Security,486786044,981737993,500
166393192,Patrick,Phillips,$145k,Bank Teller,127672999,645044125,849
47579896,David,Flores,$35k,Banker,538213277,432426794,849
212084341,Steven,Wright,$35k,Processor,109422988,208825744,849
168728718,Lillian,Parker,$245k,Analyst,886869752,682271199,849
354554270,Daniel,Rogers,$65k,Investor,694530219,614954588,849
329745918,Brianna,Mitchell,$35k,Advisor,552879395,146016438,849
420242802,Courtney,Perez,$65k,Asset Manager,7041162,913186330,849
302530614,Eric,Miller,$215k,Branch Manager,279804209,450054602,849
356490247,Aaron,Edwards,$125k,Investment Representative,572212067,839559978,849
328281194,Joshua,Thompson,$215k,Security,54522579,513923848,849
292633147,Aubrey,Scott,$55k,Bank Teller,696259206,367946147,778
89032461,David,Walker,$85k,Banker,584899777,317481172,778
173908548,Sarah,Bryant,$125k,Processor,247702837,209034431,778
61497154,Claire,Jackson,$55k,Analyst,114420506,446561387,778
292021279,Christina,Cox,$285k,Investor,897399627,154253034,778
84176512,Benjamin,Mitchell,$215k,Advisor,343911324,320000112,778
404864190,Jonathan,Harris,$215k,Asset Manager,105708212,343272830,778
319818368,Oliver,Ward,$95k,Branch Manager,553869308,207884107,778
385912516,Eric,Foster,$85k,Investment Representative,680958313,210078934,778
130931185,Gabriel,Walker,$85k,Security,573496996,848903608,778
55351750,Kayla,Parker,$75k,Bank Teller,943023889,156518253,949
209822112,Victoria,Bennett,$185k,Banker,782134858,493549887,949
126589510,Timothy,Parker,$145k,Processor,456650940,195031302,949
111917764,Jose,Jones,$285k,Analyst,175971269,480956691,949
147487013,Sara,Griffin,$35k,Investor,607038031,941823978,949
223913442,Emily,Bennett,$165k,Advisor,541285417,992349223,949
246892591,Joshua,Clark,$125k,Asset Manager,572441663,202747366,949
109286675,Abigail,Henderson,$55k,Branch Manager,959735964,179364256,949
22462778,Steven,Coleman,$285k,Investment Representative,596546332,873020830,949
242676234,Rebecca,Watson,$85k,Security,345688329,423155227,949
331769294,Jennifer,Thomas,$245k,Bank Teller,348644579,458741579,815
107145975,Jessica,Bell,$285k,Banker,978093217,115823820,815
236283084,Nicole,Bailey,$245k,Processor,132795599,897171702,815
13511434,Stephen,Roberts,$245k,Analyst,928584608,953401192,815
352297269,Zachary,Gray,$215k,Investor,293022875,496323877,815
230727730,Jason,Lopez,$285k,Advisor,906492466,639111553,815
243419733,Taylor,Hernandez,$245k,Asset Manager,773861694,864590611,815
99634243,Dylan,Anderson,$245k,Branch Manager,886854279,255249241,815
374004995,Julian,Campbell,$105k,Investment Representative,111943041,577134592,815
83719718,Joshua,Bailey,$185k,Security,88766793,707435380,815
73268494,James,Cook,$75k,Bank Teller,497571914,263420106,844
297448720,Abigail,Torres,$95k,Banker,482351890,851844886,844
347120908,Amanda,Jones,$185k,Processor,784289287,694692877,844
198035029,Sean,Sanders,$185k,Analyst,53463410,683166728,844
146213487,Jasmine,Allen,$165k,Investor,997716298,775263233,844
269281272,Sebastian,Wright,$45k,Advisor,859282025,457272013,844
22321719,Erin,Lewis,$95k,Asset Manager,210792347,954105184,844
227656546,Victoria,James,$125k,Branch Manager,470096931,283830852,844
168679547,Eric,Jones,$125k,Investment Representative,127296082,632624355,844
191464045,Erin,Brown,$65k,Security,434281216,312920790,844
345638512,Brittany,Morgan,$75k,Bank Teller,808113080,968044856,104
347111144,Aiden,Peterson,$145k,Banker,138248786,776341713,104
286467332,Kimberly,Bryant,$145k,Processor,93008514,738980641,104
22539385,Alexander,Wilson,$285k,Analyst,857082898,746525821,104
353935270,Natalie,Baker,$125k,Investor,327780781,296302795,104
232308442,Samantha,Green,$285k,Advisor,263043593,698647714,104
83146678,Maria,Lopez,$215k,Asset Manager,48569328,648879035,104
1429321,Brian,Peterson,$85k,Branch Manager,799031540,776224955,104
415349069,Stephanie,King,$185k,Investment Representative,562903692,617400674,104
401801886,Stephanie,White,$65k,Security,528961453,152929644,104
4448066,Emma,Morgan,$35k,Bank Teller,994577251,560360338,530
170098949,Joshua,Kelly,$85k,Banker,128640913,437922296,530
10398862,Brandon,Lewis,$145k,Processor,11423893,416373806,530
