trans_id,amount,date,trans_type,account_num
158277899,20.95,2015-10-8,deposit,695429579
168679547,-26.99,2022-8-28,withdrawal,667880114
310959442,114.99,2011-2-26,deposit,850962879
428328752,43.99,2011-6-13,deposit,501818898
11346383,-46.95,2022-7-20,withdrawal,941176552
6764610,-61.95,2022-3-2,withdrawal,223580640
295010354,117,2019-4-26,deposit,817667255
186145600,165.95,2016-8-18,deposit,777093422
216798342,-177.95,2017-6-3,withdrawal,112865504
48534184,-24.99,2017-3-27,withdrawal,780252209
185476037,-68,2013-8-27,withdrawal,580384518
385756351,-85.99,2013-3-9,withdrawal,823784463
232104331,90,2014-9-5,deposit,482544260
44435603,-72,2023-2-17,withdrawal,929435559
13943674,53.95,2020-2-16,deposit,129444843
101815807,73,2016-8-20,deposit,462754651
62989286,128,2016-5-30,deposit,260770378
227656546,34.99,2010-2-17,deposit,305377496
224079383,60.99,2022-5-1,deposit,824839645
53689804,85.95,2020-1-23,deposit,398093920
386520377,104.95,2019-1-18,deposit,686041067
358616887,199.95,2021-4-24,deposit,194718273
377688783,145.99,2018-10-25,deposit,624273471
77589644,102.95,2014-11-4,deposit,373332271
341822032,-177,2021-3-8,withdrawal,856235677
175705929,-145.95,2019-1-4,withdrawal,151022847
97735475,-76,2018-2-25,withdrawal,443914309
35339887,27,2023-3-10,deposit,226226246
236152242,137.99,2017-1-21,deposit,915609849
388437008,-177,2020-9-20,withdrawal,671396340
287208062,-157.95,2021-12-9,withdrawal,944942829
281554077,-70,2021-10-8,withdrawal,443914309
313784487,-80,2013-7-28,withdrawal,914676675
53202561,-195.99,2010-8-16,withdrawal,810727976
250523287,-76,2020-8-30,withdrawal,872794045
390215373,79.95,2022-7-1,deposit,542980108
387557757,-105.99,2017-6-13,withdrawal,386555810
139948732,-106.95,2021-3-25,withdrawal,306169262
2778945,77,2020-1-22,deposit,588293868
39376398,42.95,2017-11-13,deposit,440659712
406072384,49.95,2020-9-5,deposit,614528801
325310928,-48.95,2012-11-23,withdrawal,271905973
254382502,-179.95,2017-8-25,withdrawal,844114710
94418159,-47.99,2017-9-15,withdrawal,362427664
314093335,134.95,2018-9-5,deposit,693001787
147956301,176,2013-4-16,deposit,523015368
313460199,194.99,2021-12-29,deposit,401786339
3123625,-86.95,2013-12-19,withdrawal,140129774
166662145,20.95,2010-9-28,deposit,769895689
134855209,135.99,2019-7-11,deposit,922311795
131133411,-176.99,2016-1-9,withdrawal,624273471
72598113,-14.95,2013-7-25,withdrawal,286532656
413983393,133,2019-4-5,deposit,333595107
